title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
gone girl,2014,6451.0,4805.0,6.0,5.0,0.5731165600568585,0.42688343994314143,0.5454545454545454,0.45454545454545453,961.0,1075.1666666666667,f,False,True,False,False,0,1,0,0,Acting
good night and good luck,2005,1438.0,7213.0,3.0,9.0,0.16622355797017685,0.8337764420298232,0.25,0.75,801.4444444444445,479.3333333333333,m,True,False,False,False,1,0,0,0,Acting
good will hunting,1997,3352.0,19054.0,1.0,7.0,0.14960278496831206,0.850397215031688,0.125,0.875,2722.0,3352.0,f,True,True,True,False,2,1,1,0,Acting
gosford park,2001,5387.0,5321.0,9.0,15.0,0.5030818079940231,0.49691819200597687,0.375,0.625,354.73333333333335,598.5555555555555,f,False,True,False,False,0,2,0,0,Acting
gravity,2013,2580.0,3089.0,1.0,2.0,0.4551067207620392,0.5448932792379608,0.3333333333333333,0.6666666666666666,1544.5,2580.0,f,False,True,False,False,0,1,0,0,Acting
hannah and her sisters,1986,13660.0,18834.0,5.0,13.0,0.42038530190188955,0.5796146980981104,0.2777777777777778,0.7222222222222222,1448.7692307692307,2732.0,f,True,True,True,True,1,1,1,1,Acting
hotel rwanda,2004,1008.0,6113.0,3.0,13.0,0.14155315264710014,0.8584468473528999,0.1875,0.8125,470.2307692307692,336.0,m,True,True,False,False,1,1,0,0,Acting
i am sam,2001,10596.0,5480.0,7.0,8.0,0.6591191838765862,0.3408808161234138,0.4666666666666667,0.5333333333333333,685.0,1513.7142857142858,f,True,False,False,False,1,0,0,0,Acting
in the bedroom,2001,4682.0,7856.0,4.0,7.0,0.3734247886425267,0.6265752113574733,0.36363636363636365,0.6363636363636364,1122.2857142857142,1170.5,f,True,True,False,False,1,2,0,0,Acting
in the line of fire,1993,2228.0,6081.0,3.0,7.0,0.2681429774942833,0.7318570225057167,0.3,0.7,868.7142857142857,742.6666666666666,m,True,False,False,False,1,0,0,0,Acting
in the valley of elah,2007,2655.0,5426.0,4.0,14.0,0.32854844697438434,0.6714515530256157,0.2222222222222222,0.7777777777777778,387.57142857142856,663.75,f,True,False,False,False,1,0,0,0,Acting
inglourious basterds,2009,3240.0,12648.0,4.0,16.0,0.2039274924471299,0.7960725075528701,0.2,0.8,790.5,810.0,f,True,False,True,False,1,0,1,0,Acting
into the wild,2007,6718.0,12204.0,8.0,8.0,0.3550364654899059,0.644963534510094,0.5,0.5,1525.5,839.75,m,True,False,False,False,1,0,0,0,Acting
into the woods,2014,3652.0,3535.0,8.0,5.0,0.5081396966745513,0.4918603033254487,0.6153846153846154,0.38461538461538464,707.0,456.5,m,False,True,False,False,0,1,0,0,Acting
invictus,2009,713.0,6534.0,3.0,12.0,0.09838553884365944,0.9016144611563406,0.2,0.8,544.5,237.66666666666666,m,True,False,False,False,2,0,0,0,Acting
its a wonderful life,1946,1268.0,12410.0,3.0,14.0,0.09270361163912853,0.9072963883608715,0.17647058823529413,0.8235294117647058,886.4285714285714,422.6666666666667,m,True,False,False,False,1,0,0,0,Acting
jackie brown,1997,13244.0,25984.0,5.0,8.0,0.337615988579586,0.662384011420414,0.38461538461538464,0.6153846153846154,3248.0,2648.8,m,True,False,False,False,1,0,0,0,Acting
jerry maguire,1996,7690.0,12742.0,6.0,8.0,0.3763703993735317,0.6236296006264683,0.42857142857142855,0.5714285714285714,1592.75,1281.6666666666667,m,True,False,True,False,2,0,1,0,Acting
jfk,1991,7544.0,50752.0,8.0,27.0,0.12940853574859337,0.8705914642514067,0.22857142857142856,0.7714285714285715,1879.7037037037037,943.0,m,True,False,False,False,1,0,0,0,Acting
