title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,total_nominations,total_wins,nominated,df_type
away from her,2006,6909.0,2834.0,7.0,1.0,0.7091244996407677,0.29087550035923226,0.875,0.125,2834.0,987.0,m,0,0,False,Other
away we go,2009,5067.0,6226.0,6.0,6.0,0.4486850261223767,0.5513149738776233,0.5,0.5,1037.6666666666667,844.5,m,0,0,False,Other
babel,2006,4118.0,11836.0,6.0,23.0,0.25811708662404415,0.7418829133759559,0.20689655172413793,0.7931034482758621,514.6086956521739,686.3333333333334,f,5,1,True,Other
bachelor party,1984,955.0,3666.0,4.0,11.0,0.20666522397749404,0.7933347760225059,0.26666666666666666,0.7333333333333333,333.27272727272725,238.75,m,0,0,False,Other
back to the future,1985,917.0,6822.0,2.0,4.0,0.11849076108024292,0.8815092389197571,0.3333333333333333,0.6666666666666666,1705.5,458.5,m,4,1,True,Other
back to the future part ii,1989,928.0,7837.0,3.0,8.0,0.10587564175698802,0.894124358243012,0.2727272727272727,0.7272727272727273,979.625,309.3333333333333,m,1,0,True,Other
back to the future part iii,1990,1082.0,8044.0,3.0,6.0,0.1185623493315801,0.88143765066842,0.3333333333333333,0.6666666666666666,1340.6666666666667,360.6666666666667,m,0,0,False,Other
backdraft,1991,2798.0,20664.0,3.0,14.0,0.11925667036058307,0.8807433296394169,0.17647058823529413,0.8235294117647058,1476.0,932.6666666666666,m,3,0,True,Other
bad boys,1995,3133.0,8772.0,5.0,8.0,0.2631667366652667,0.7368332633347333,0.38461538461538464,0.6153846153846154,1096.5,626.6,m,0,0,False,Other
bad country,2014,248.0,7718.0,2.0,16.0,0.031132312327391415,0.9688676876726086,0.1111111111111111,0.8888888888888888,482.375,124.0,m,0,0,False,Other
bad day at black rock,1955,998.0,17282.0,1.0,10.0,0.05459518599562363,0.9454048140043764,0.09090909090909091,0.9090909090909091,1728.2,998.0,m,2,0,True,Other
bad lieutenant,1992,1222.0,3072.0,2.0,4.0,0.2845831392640894,0.7154168607359106,0.3333333333333333,0.6666666666666666,768.0,611.0,m,0,0,False,Other
bad meat,2011,1483.0,3570.0,3.0,9.0,0.2934890164258856,0.7065109835741143,0.25,0.75,396.6666666666667,494.3333333333333,f,0,0,False,Other
bad santa,2003,702.0,5404.0,2.0,5.0,0.11496888306583689,0.8850311169341631,0.2857142857142857,0.7142857142857143,1080.8,351.0,m,0,0,False,Other
bad teacher,2011,10782.0,4489.0,7.0,10.0,0.706044135943946,0.29395586405605395,0.4117647058823529,0.5882352941176471,448.9,1540.2857142857142,f,0,0,False,Other
badlands,1973,6338.0,5706.0,1.0,4.0,0.5262371305214214,0.47376286947857854,0.2,0.8,1426.5,6338.0,f,0,0,False,Other
bamboozled,2000,1835.0,9632.0,4.0,9.0,0.16002441789482863,0.8399755821051713,0.3076923076923077,0.6923076923076923,1070.2222222222222,458.75,m,0,0,False,Other
barneys version,2010,3448.0,7539.0,4.0,12.0,0.31382543005369984,0.6861745699463002,0.25,0.75,628.25,862.0,f,1,0,True,Other
barry lyndon,1975,2085.0,18508.0,4.0,15.0,0.10124799689214782,0.8987520031078522,0.21052631578947367,0.7894736842105263,1233.8666666666666,521.25,m,7,4,True,Other
barton fink,1991,505.0,9395.0,1.0,10.0,0.05101010101010101,0.9489898989898989,0.09090909090909091,0.9090909090909091,939.5,505.0,m,2,0,True,Other
basic,2003,2078.0,12456.0,2.0,7.0,0.14297509288564744,0.8570249071143525,0.2222222222222222,0.7777777777777778,1779.4285714285713,1039.0,m,0,0,False,Other
basic instinct,1992,2680.0,4871.0,2.0,7.0,0.35491987816183285,0.6450801218381671,0.2222222222222222,0.7777777777777778,695.8571428571429,1340.0,f,2,0,True,Other
basquiat,1996,2094.0,10564.0,5.0,9.0,0.16542897772159898,0.834571022278401,0.35714285714285715,0.6428571428571429,1173.7777777777778,418.8,m,0,0,False,Other
batman,1989,1136.0,2615.0,1.0,5.0,0.30285257264729404,0.697147427352706,0.16666666666666666,0.8333333333333334,523.0,1136.0,f,1,1,True,Other
batman  robin,1997,3126.0,7020.0,4.0,8.0,0.3081017149615612,0.6918982850384388,0.3333333333333333,0.6666666666666666,877.5,781.5,m,0,0,False,Other
batman begins,2005,922.0,6853.0,1.0,15.0,0.11858520900321544,0.8814147909967845,0.0625,0.9375,456.8666666666667,922.0,f,1,0,True,Other
batman forever,1995,2082.0,9956.0,2.0,8.0,0.17295231766074098,0.827047682339259,0.2,0.8,1244.5,1041.0,m,3,0,True,Other
batman returns,1992,1188.0,6278.0,2.0,6.0,0.15912135012054648,0.8408786498794535,0.25,0.75,1046.3333333333333,594.0,m,2,0,True,Other
